"likes","comments","media_url","location","posted_date","user_id","name","handle","url","views","caption","post_type"
"359","5","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/114891774_783766179028033_5922429014152216593_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rFZvGfrLZsEAX-7cDxj&oh=ba7b712372590f1bf66f5899b3a01661&oe=5F5429FD","","2020-07-24 00:05:13","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDAQqG1BRaE/","","Que nadie se meta con tu papel 😅 no sabemos qué pasó al inicio de esta cuarentena pero hoy recordamos esos momentos extraños que nos ha dejado el COVID 🙃
.
⚡️Hoy estrenamos nuestras camisetas con la mejor @amaliaandrade_ ilustrando los momentos más memorables de esta cuarentena ✌🏾
.
Producto: Maicao Negro Papel Higiénico 🧻  Ilustradora: @amaliaandrade_  Una alianza con los cracks de @whitman_co 
.
#vamosacoronarestevirus #camisetas #amaliaandrade #whitman #toiletpaper #illustration","image"
"237","4","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106246051_945062592587846_3130553598453488713_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=15gp8MNkGJYAX82e1i9&oh=a4433afc1454a090601632aae823d1c9&oe=5F5472DD","","2020-06-30 14:10:44","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCD-V9BhCUN/","","Esa es tu cara cuando piensas, se me fueron los 3 puentes y no hice nada 😑 será que el 2021 tiene tantos festivos? 😅 Feliz último día de Junio ⚡️ Está semana tenemos sorpresas 💥💥💥","image"
"264","8","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/105302276_297608491390522_8157421394983640356_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=NAEOGQ4bGGoAX91-CiV&oh=089876953a4d38d06d172b8da95545ad&oe=5F5142AE","","2020-07-02 02:06:55","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCH1GSCBc2k/","","⚡️Hoy Mauro nuestro jefe de producción estuvo de cumpleaños y además de felicitarlo queremos reconocerlo por el increíble trabajo que ha hecho desde que llegó al equipo 💛
.
Mauro que tiene el apetito de un T-Rex 🦖 tiene la camiseta puesta desde las 5am que llega al taller a organizar al equipo para que todos sus pedidos salgan lo mejor posible 👌🏽 pero además es un duro apagando incendios cada vez que un contratiempo se presenta 🧑🏽‍🚒 y siempre tiene los mejores memes bajo la manga 💥
.
Mauro gracias por ser un apoyo incondicional, por velar por el bienestar del equipo y por mantener siempre la calma 🙌🏽 Te queremos Mauro, te queremos 🧁
.
#equipokupa","image"
"1138","10","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/109219182_1404123873110387_3862615988290835363_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BKIZ7OMjAsIAX8RdDSD&oh=ed62792753d0fc3d2557913831013955&oe=5F54693F","","2020-07-21 17:35:07","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CC6abMdBjFL/","","Para quienes vencemos los miedos a diario⚡ miedo a la incertidumbre, miedo a no ser capaces, miedo a decir lo que pensamos 💛 Que hoy nuestras ganas sean más grandes que ellos 💥
.
Gracias @amaliaandrade_ por ayudarnos a recordar que aunque nos estemos comiendo las uñas debemos hacer lo que nuestra panza nos dice ⚡ Saltemos al agua en pijama o en corbata, por eso que nos hace despertar todos los días ✌🏾
.
#COGUA #AmaliaAndrade #pjparty #books #tuesday #homeoffice","image"
"698","15","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/75588009_959351151178661_582881586381570809_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=WVoj-0g6awUAX-CDJvx&oh=6a96558b3b35994433313a8140fa50ed&oe=5F53FD91","","2020-07-01 00:13:36","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCFDVczBN6y/","","PODEROSAS son las mujeres que están haciendo denuncias que generan cambios, emprendimientos con nuevas voces, mujeres que han tomado la educación como plataforma para deconstruir y reinventar su rol en el mundo ✌🏾
.
PODEROSAS es una colección que hicimos junto a la talentosa @luisaeloisa_ y hoy queremos resaltar sus ilustraciones para abrir un espacio de reflexión, de agradecimiento y de acción ⚡ Para que todas las poderosas que no han empezado lo hagan ya y para quienes ya arrancaron continúen 🙌🏽
.
Gracias a todas las PODEROSAS que diariamente están siendo imparables, que alzan su voz y construyen para todas un mundo mejor ✊🏽✊🏿✊🏻
.
#NiunaMás #NiunaMenos #Lideresas #Hablardeloquenosehabla #Emberaquémonos #PODEROSAS #recsisters #Noestamossolas #nonormalicemosloanormal","image"
"613","6","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/108996181_303379380849907_3486024921688677204_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=VevA2UbLfuEAX8NLMvQ&oh=391dacc3fffdbe7116a15e3167f23e61&oe=5F5233E5","","2020-07-14 23:48:26","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCpDlW7BnVq/","","🥬 Hoy cocinamos junto a @amaliaandrade_ y el @bancodealimentoscali una receta hecha en cuarentena para las personas que más lo necesitan en Cali 💛
.
Llévate tu MAGANGUÉ para seguir probando nuevas recetas en esta cuarentena 2.0 ✌🏾Gracias a @mimercadillo.co por estas frutas y verduras tan increíbles 🥑
.
#Vamosacoronarestevirus #2020 #healthyfood #Cali #AmaliaAndrade #cooking","image"
"1092","10","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/110314469_876783036142129_2949900319259830819_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=cNSYjNHDNZYAX-d5yw2&oh=1e6d1b12dfb13ef413c1aef0a8274609&oe=5F538671","","2020-07-17 23:40:33","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCwxEP1BPS3/","","☀️ Y con ese increíble atardecer nos despedimos por hoy 🙌🏽 Pecana seguirá haciendo control de calidad de nuestros VAUPÉS mientras le damos la bienvenida a este puente de Julio 💛
.
#friday #vaupes #dog #puppy #briefcase","image"
"785","37","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/107065151_2652801925038682_7388144579734781341_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=PrvH2uKuRlQAX81bmUY&oh=2d7b383b7c21ac4c17b7e049f8284a23&oe=5F53D961","","2020-07-09 23:49:29","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCcLutaBEWF/","","Amada Bogotá cansados de tu frío decidimos hacer nuestra propia pijama ⚡️ una que nos cubra de pies a cabeza y que haga nuestros arrunches más divertidos 😅
.
Aquí está COGUA :) nuestra nueva pijama para ganarle al frío 🥶 encuéntrala en nuestra página KUPA.co en la sección KUPA HOME 💛 El fleece nunca había tenido tanto flow ✌🏾
.
#KUPAHOME #pijama #pjparty #cogua #night #bedtimestory","image"
"200","3","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/109054226_119411756280598_5620710833592915774_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=H5oPPdgzqmoAX-lu5TV&oh=453a034bb079c8cbbde7fe99b40d9baa&oe=5F52FEED","","2020-08-04 00:08:29","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDclxsFhjjI/","","Hoy en este lunes feliz también celebramos el cumple de Isa, nuestra líder de Servicio al Cliente. 

Isa cree firmemente en actuar y trabajar desde la empatía y tiene superpoderes con sus ojos: Siempre está atenta a lo que ustedes necesitan y no se le escapa nada! Detrás de cada pregunta, comentario o sugerencia, Isa está dando lo mejor de sí para que la experiencia de caminar junto a KUPA sea la mejor de principio a fin. Además le encanta andar en moto, investigar y traernos todos los días datos curiosos. 

Gracias Isa por tu dedicación, tu apoyo incondicional y por siempre compartirnos tus descubrimientos!","image"
"555","9","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/109522451_141932837555768_6705199189682300186_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zX8cu_UnjGsAX8l23ZI&oh=cfd256228a002bd8f62f2696b5c69480&oe=5F54F1F9","","2020-07-20 17:59:10","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CC34YifBa5K/","","Lleva la tricolor incluso cuando no hay fútbol 🙌🏽 llévala en donde antes llevabas libros y ahora llevas ilusiones ✈️ llévala en tu espalda donde cargas el mundo que ansias recorrer ⚡️
.
Hoy 20 de Julio en KUPA llevamos puesta nuestra bandera, orgullosos de nuestros orígenes, celebramos que el hilo que nos une es amarillo 💛 que uno de nuestros mayores logros es azul 🧵 y que nuestra fuerza viene del rojo de nuestra reata que nos mantiene firmes 4 meses después de esta pandemia 🔥
.
✌🏾 MONGUÍ, uno de los pueblos patrimonio de Colombia, es el nombre de nuestra maleta tricolor, la que lo deja todo en la cancha 🇨🇴
.
#lomejordecolombia #colombia #20deJulio #orgullososdenuestrabandera","image"
