web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1596581624-94","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Susan K.","Added protection where I need it.","Calificado en Estados Unidos el 24 de mayo de 2020","I recently talked to my sister who also ordered one of these screen protectors, my prior protector was the more plastic cover, she said this was a good protector and an easy one to install.  I ordered mine and she was absolutely right, it applies very easy and it feels like it's protecting the screen better then what I had before, there is still some glare and my fingerprints show up pretty easily so I'm not too sure on the anti-smudge, but the glass cover has a smoothness that makes it easy for me to use my IPad and for using my Apple Pencil with.  So for me the good by far outweighs the bad.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1596581636-149","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","cherribomb","Child proofing EVERYTHING","Calificado en Estados Unidos el 1 de mayo de 2019","Instructions were clear, came with more info on how to install properly than others I have purchased and I am thrilled with the results. I was always worried about my toddlers breaking my tablet and now I know it’s safe for the most part. Because let’s face it kids are the devil when it comes to mommy’s stuff.

Edit 1/16/2020
I just have to say that this brand of screen protectors are some of THE best I've ever had. My toddlers play on the tablet ALOT. They drop and do all the things you are scared of them doing. My tablet has held up like a champ. I have some cracks in the protective glass but the tablet itself is looking like the day I got it. Definitely impressed and will continue to buy!!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1596581636-146","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Courtney","So good i thought i had cracked my ipad screen","Calificado en Estados Unidos el 26 de agosto de 2019","Normally when you install screen protectors you can kind of tell that its there. Not this one. I actually forgot i install this knight in clear armor, even up to the point where it had cracked. I actually thought when I spotted the crack on my iPad I thought it was a screen protector holding the crack together. Eventually the crack spread across my iPad and I did some investigation and it turns out that it was a screen protector that had cracked. So be warned if the protector has been cracked itll spiderweb right across your iPad. Totally purchasing again.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1596581627-109","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Newone","Fits well but product quality so so.....","Calificado en Estados Unidos el 30 de agosto de 2018","The fit was excellent...when I checked the install carefully I found very small ( 1/4"") hairline marks along one side...at first I thought it was lint but it appears to be stress like marks...it's on the area of the black bezel so it's difficult to see....other than that a nice product.
UPDATE: was contacted by the company and immediately responded and resolved the defective protector with a new and flawless screen that was applied and is perfect....was a pleasure to deal with a company that stands behind their products and reacts immediately to resolve an issue...5 stars to their customer service and product!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1596581638-151","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ali Powell","May cause you issues with your touch screen","Calificado en Estados Unidos el 18 de diciembre de 2017","This protection shield fits perfectly on my iPad Air2 installed very easy, but it causes interference with the touch process on my device. It just won't let the touch process work half the time and that's irritating. So since I can't remove it from my device without breaking it I'm going to try a different brand.","2.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1596581636-142","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","marco cabrera jr","Not very durable","Calificado en Estados Unidos el 5 de enero de 2020","Not the greatest but it does its job of protecting its screen. This this the second one I bought because the first one got damaged somehow. I never dropped my iPad especially because it doesn’t have a protecting case so I always took care of it. It started to appear tiny hairline cracks on the screen protector. I’m not sure how but they were there after 3 or 4 months of installing it. Also the screen has a lot of glare and smudges everywhere. If the tiny cracks happen again to this one I would not buy again","2.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1596581631-121","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kimster","Best screen protector&easy installation","Calificado en Estados Unidos el 16 de junio de 2019","Super easy installation process. I thought it would be harder to apply a screen to an iPad as its a bigger surface to deal with but the installation tools they gave me helped a lot. It was a lot easier to install than on an iPhone. I got it very well fitted on the first try and was satisfied with the look. Ive applied multiple screen protectors for my phone and i’m never happy with the first try since there’s always a hair or its all crooked but this was great. Definitely not smudge proof as I can see my fingers on it but it’s not bad compared to some other brands out there.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1596581611-40","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jennifer F.","Don't count on gliding stickers. UPDATE!","Calificado en Estados Unidos el 30 de diciembre de 2016","So much for gliding stickers. Mine came off as I was gently putting the glass over my iPad, which then messed up my alignment, which then led to me having to try to fix the issue and in turn getting dust attached to the adhesive side of the screen! Tons of bubbles resulted. Giving it two stars because it did seem like it would have fit beautifully and it was packaged well. Overall, disappointed.

UPDATE: Sparin contacted me immediately after my review and offered to send me another screen protector free of charge with some suggestions of how to change my method. Basically I did not use the guide stickers this time (peeled back half, aligned, pulled back other half, then ran my finger down the middle to allow it to adhere). This method worked MUCH better. I suggest doing this, or if you really want to use the hinge method to use additional tape and not the guide stickers provided. Great customer service though! Product itself is really good - fit is great, screen works perfectly.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1596581609-27","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","clw","Not as advertised","Calificado en Estados Unidos el 15 de marzo de 2018","Was impressed by all the positive reviews so I purchased this for my new iPad. The first one arrived with a smudge that wouldn’t go away. I decided it was a fluke, so I returned it and ordered another one. After following the directions completely, I had two air bubbles that would not go away. Thinking this was a temporary issue and would eventually go away, I left it for a few days. I removed and replaced once again and I now have 8 air bubbles that refuse to go away! In the years I have been installing screen protection on various products I have never encountered such a problem. I would return this one, but so sure was I that this one would work, I threw everything away. Very dissatisfied with product!","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1596581627-104","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sandra Viana","Kit did not come with dust removal sticker. Guide stickers do not stick!  Screen full of dust.","Calificado en Estados Unidos el 13 de enero de 2018","The 2 star rating isn't necessarily for the tempered glass itself, but for the means of installation.  It should be first noted that my kit did not come with the dust removal sticker, so I was unable to complete that step as written in the instructions, as well as the steps in the video on YouTube. I always apply my own screen protectors to my devices, so I have relatively good experience with placing screen protectors.  When applying this one however, the screen protector kept sliding around as I was trying to measure the placement due to the protective sticker on the protector.  Also, when trying to place the guide stickers onto the screen protector for alignment, they always kept popping off and I would have to realign the screen and press the guide sitckers on again (this happened 3 times). I cleaned the screen as instructed, and as noted before, I could not complete the dust sticker removal step, as my kit did not come with one.  Dust still remained on my screen because of the microfiber cloth (keep in mind, I was installing the protector in a relatively dust-free area).  After removing the protective sticker from the glass, I flipped the glass as instructed and the guide stickers once again came off, adding more time to the installation process, therefore allowing some dust to settle onto the adhesive side of the tempered glass. There are dust particles stuck under the glass now and there are still some bubbles remaining. Very disappointed.","2.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
